K,Metric,bayesian,spectral,leiden,louvain
3,adjusted_mutual_info_score,0.7207877979075662,1.0,0.14941015209756184,0.14744579316695475
3,adjusted_rand_score,0.5593533395225833,1.0,0.07008381890829965,0.06198322140697401
3,v_measure_score,0.7260234893824086,1.0,0.3531296315192121,0.35080060001730506
4,adjusted_mutual_info_score,0.5588906082914975,1.0,0.13980652786520026,0.13769619589485957
4,adjusted_rand_score,0.3206246968614667,1.0,0.06555552947722548,0.0586800083009111
4,v_measure_score,0.567019351688204,1.0,0.40550081137207766,0.40451362308559274
5,adjusted_mutual_info_score,0.4435582851981965,1.0,0.12888295536948124,0.12769392810475505
5,adjusted_rand_score,0.2031218042240941,1.0,0.05957551820820476,0.05500634669006963
5,v_measure_score,0.47179357601812894,1.0,0.4453871865889537,0.4440979008862597
6,adjusted_mutual_info_score,0.3954654628195019,1.0,0.12275813934339128,0.12179367038840513
6,adjusted_rand_score,0.13998375552965497,1.0,0.056373014541512646,0.054451554486790565
6,v_measure_score,0.39794318897443254,1.0,0.4756525272280837,0.47530998129929963
7,adjusted_mutual_info_score,0.34119000282533224,1.0,0.11449320918882304,0.11356049723660586
7,adjusted_rand_score,0.09474639401437049,1.0,0.05726981862132141,0.053008821032783836
7,v_measure_score,0.3289875957420983,1.0,0.501923986597874,0.501538422666268
8,adjusted_mutual_info_score,0.2972358046691229,0.9109522617757781,0.10561866639798925,0.10408186741048024
8,adjusted_rand_score,0.07491571338287739,0.9180769505618253,0.05611903915167288,0.05300262351425598
8,v_measure_score,0.30226471136013255,0.9156764419191642,0.5180994592013282,0.5183158211544517
9,adjusted_mutual_info_score,0.2557616896606135,0.6561276299525174,0.08951138456977156,0.08896005783907171
9,adjusted_rand_score,0.05387995744945202,0.7731018829048019,0.06690400483336101,0.06657237089897236
9,v_measure_score,0.2657194925452017,0.7041711984803511,0.5125527270183912,0.512851537961859
10,adjusted_mutual_info_score,0.20692131572473144,0.10068596820203864,0.08228669484938414,0.08228669484938414
10,adjusted_rand_score,0.04398031573582678,0.18177604232842673,0.14204404805200585,0.14204404805200585
10,v_measure_score,0.23811427308793448,0.22381730561899943,0.4338019938550718,0.4338019938550718
11,adjusted_mutual_info_score,0.2019808194248817,0.029065524355289453,0.10335631377499485,0.10324644391675339
11,adjusted_rand_score,0.03588821868591927,0.017947596412758803,0.09620862485979345,0.09290916891194008
11,v_measure_score,0.21323070044570228,0.10190872576926568,0.28540784506802763,0.2865851349236387
12,adjusted_mutual_info_score,0.17370911176596932,0.02345539651475866,0.12141007306415211,0.12021167068657672
12,adjusted_rand_score,0.03381833331063372,0.010953042247240929,0.06556759787876078,0.06393370588847913
12,v_measure_score,0.19323269592097683,0.09018408456471551,0.19336376785324447,0.194591534836283
13,adjusted_mutual_info_score,0.16048215800108356,0.03296780182778971,0.11764595894193046,0.11829799817743539
13,adjusted_rand_score,0.038059976178500994,0.023462308310863957,0.05727524486780723,0.0561348927451803
13,v_measure_score,0.1830114522839329,0.09991049740518765,0.1646822831330032,0.16322207113213116
14,adjusted_mutual_info_score,0.13356940358542832,0.04061977108300404,0.1092544615583185,0.11148140218418345
14,adjusted_rand_score,0.038228954652468755,0.028883092176236046,0.050961933671050744,0.05061013026952695
14,v_measure_score,0.1682443290699634,0.11447443339532741,0.14877945963168215,0.14859231329071426
15,adjusted_mutual_info_score,0.11314017749611498,0.04417573689402237,0.10588201804135326,0.10750371596912131
15,adjusted_rand_score,0.04035082573075892,0.03555320796939357,0.047885573751210574,0.04808061762262258
15,v_measure_score,0.15445159414745283,0.12607891458366208,0.1446757116123431,0.14574312473718273
16,adjusted_mutual_info_score,0.09958649351700656,0.044288784855190375,0.09775016737150724,0.09555023998671083
16,adjusted_rand_score,0.038163962307137034,0.038130589415768815,0.04526807223983847,0.04650472793574982
16,v_measure_score,0.15234213306262492,0.1350794877344152,0.13854868776941126,0.13968310013331453
17,adjusted_mutual_info_score,0.08759485695078009,0.043756449260650726,0.0916443196105368,0.09025769426276234
17,adjusted_rand_score,0.04313953087324572,0.0378548543648556,0.04092323316240371,0.04124092037802517
17,v_measure_score,0.15132845607608297,0.14539941733551678,0.13458557346610803,0.137889981100109
18,adjusted_mutual_info_score,0.0803101276636523,0.040101372037056354,0.08523096370062413,0.08435468503714869
18,adjusted_rand_score,0.04250938457439714,0.03705714067911087,0.03655220846083158,0.03708117909870347
18,v_measure_score,0.16064857913276065,0.15267449336732514,0.13196639959408063,0.13718861746688835
19,adjusted_mutual_info_score,0.07814855593060772,0.04784201263755406,0.07870016630576154,0.07942548328436924
19,adjusted_rand_score,0.043773415841283615,0.040659077444899806,0.03669545127324607,0.03460586926967948
19,v_measure_score,0.15837653728140266,0.17038913967642777,0.1322093732271647,0.13381334920438642
20,adjusted_mutual_info_score,0.07017033529651599,0.042158397092109945,0.07423161649430247,0.0737784204643178
20,adjusted_rand_score,0.037077046927262915,0.037719707055002036,0.032445440815364504,0.032864561607212274
20,v_measure_score,0.17365891222297306,0.17625922393752502,0.1332961141375971,0.13607378014354954
